account_id,customer_id,account_type,account_status,open_date,current_balance,currency,credit_limit
2d1a7e85-68ef-4953-b1b2-12880a05a2b0,c19a8fb0-39cf-4c20-af33-3abe5181fc2a,credit card,dormant,2021-03-15,29692.36,JPY,32498.26
4967efb3-ec9b-4971-8642-2c3b5bbbe517,310607df-6021-418a-9c91-fe5cb500e6f3,checking,closed,2020-02-08,46007.04,USD,
d944d2fd-304a-4b24-afcf-c220385be603,651e8cf4-e051-458f-8cc9-7874d94738a8,loan,active,2022-12-29,23838.75,EUR,
19085c39-0cc0-4e6e-a8c3-7b4b118afd3e,0432d501-4f81-41b1-9d5c-0326614b2f58,savings,active,2023-11-04,30425.68,JPY,
9a669b21-a765-449b-aead-fb28c2bd5431,58d4e626-b9ce-4b13-b35f-b117d60cdc44,loan,closed,2024-02-10,45324.54,EUR,
1aaedf41-81c5-4cb5-96c8-ad62f3afe212,b3c1a289-43b5-4f0b-8524-735483e54e9b,loan,closed,2020-02-06,42015.17,JPY,
b2e7f0d9-c42a-4b64-9989-6009801ffff2,3ac4ce6d-4627-48bd-9906-5691318e2d71,savings,closed,2020-07-19,173.58,JPY,
1d9f3107-421f-4c69-8cbf-02d1e7527f0c,8d725ce8-c40a-4c19-b8da-a8685b64441f,checking,dormant,2023-09-18,25947.17,EUR,
9a6bc24d-7299-4761-986c-1910e010077a,76408c84-51e6-447e-9462-a52f325aa5d2,checking,closed,2023-06-05,27411.25,GBP,
7f2070f1-da51-4067-b854-ee71ab5858a9,8aa96c66-ae22-45b7-ad4c-cc16d5c9fc56,savings,closed,2023-11-21,36322.37,JPY,
32460085-6d5c-46e8-b646-b9d1d8b0b573,11f3a26f-d1af-497a-9ee1-bec72f6ce169,checking,dormant,2020-08-12,25426.5,EUR,
bfa37bab-fc4e-4d22-9615-9b55294c8444,06d8bcc4-9a7c-4ebf-ad9a-2e5e1ee16b11,checking,dormant,2021-01-01,47193.81,JPY,
e000ae33-b6ea-4b47-be3f-894b86b8cb9d,46bdcb2b-20df-4404-863e-328c92014ed6,loan,active,2022-04-02,47278.57,USD,
b1d9c5c0-d10b-4fa1-9900-11b0de548793,f6c83c1b-5233-4512-8b48-e1e72894cb39,credit card,active,2023-10-07,29559.27,EUR,28408.24
d0bbf3a6-c962-488a-b3fd-e3040aaa8645,97942256-cd5b-41ae-ae65-410f835a04ca,loan,active,2020-03-27,45051.97,GBP,
9ade7738-bdb7-4c9d-83c3-c42935ac04c0,085f33cf-382a-47c3-9fe6-3edbeb61ef6e,loan,dormant,2020-09-12,27760.31,EUR,
09245c4a-3f3c-4448-bd5f-738bf22e4ac3,b6a2f8b1-388d-479b-b5a9-07165d5d2369,savings,closed,2023-04-22,37496.4,EUR,
e438b356-3a43-42a7-9703-4408ca92cdfc,773fa8a6-3988-4219-aae3-127fefce2606,credit card,active,2022-12-09,33093.25,GBP,25755.22
d3a2f998-66a9-4796-9e2e-7c47297038af,15a77395-e7ee-46db-bbe3-70a38b809027,credit card,closed,2021-10-04,22545.89,GBP,12780.44
03ead511-3076-451f-b299-bdda079cf456,9c4141c9-b066-4cde-a0c1-9427e9513962,checking,dormant,2021-11-28,6809.76,EUR,
dfeffac0-61ff-4027-b6ec-9ae03769b92e,32e9298a-4e30-4075-93b6-8bcf06ffb7c0,checking,closed,2022-11-12,45974.11,EUR,
11aedacf-6b74-4bf0-916a-75540a0dc97f,32e9298a-4e30-4075-93b6-8bcf06ffb7c0,savings,closed,2024-07-16,18998.91,GBP,
f28282ab-d6fb-4612-875c-7ce12a7d8f70,1d364e38-c8d6-42fa-8469-68bd90b30d3e,checking,dormant,2021-04-15,3127.07,JPY,
3d4af297-7885-4ca8-9bea-1d91b271b572,6ce04c83-3ce5-4bbc-ad5d-586e802643c0,credit card,dormant,2023-02-05,-478.23,USD,11020.06
507b2839-83a1-4dcb-9e08-3db9e477fae2,83020c94-f110-4b4b-b3dc-c1ae570f14d9,credit card,closed,2020-10-14,13525.44,USD,23232.85
ad1432af-b4f5-4404-ace3-4675bbd626e9,1076d12e-a747-4219-aa27-313f0a07075e,checking,closed,2021-05-10,2731.7,JPY,
e1f3b57f-368a-457c-a2b1-5eefa80602c7,28b113f2-ba34-4cd2-8ff6-cf312b84e7b1,credit card,active,2022-03-09,9728.47,GBP,24959.7
d599ceb5-95ef-43be-aa3e-607bdf8984f8,3a5f5209-72f5-42f9-b5c1-4440db18e18c,savings,dormant,2022-10-17,34491.73,EUR,
fb9c898e-c299-424a-af6c-f84a8c32a93f,bb672286-464f-4020-af15-c8ef8f1fc1a3,savings,active,2023-07-03,17633.93,EUR,
af5231eb-e8ba-499a-862e-c648b55b95d1,7fe2530e-4de3-4b16-875c-81c8552a76f7,checking,active,2023-09-22,43458.24,JPY,
6bb20389-ceef-40e2-8d1d-a733df395ce4,606f3561-1bf1-4d37-9e97-96dc24b734ba,loan,closed,2024-01-09,4821.98,GBP,
10c54f9c-82b9-40f2-bae2-1a6cf8ef1395,da0fc188-672a-4b76-b79e-d49324b34161,checking,active,2021-02-11,24033.08,USD,
140a7b36-d726-47bd-aece-8cb3a7845f1e,0ae13033-4616-4325-91e6-265246abf415,credit card,active,2024-04-25,36705.95,JPY,43093.58
7f776241-9b45-4b5e-8ba2-e8c6f15cc159,db1c93d7-eef3-4b7e-ad2f-f65e8e3b41de,credit card,active,2024-07-14,39087.8,USD,23030.08
d2d3923c-b9a4-468d-848e-6ac8de7048da,df8d30a2-8dde-4237-b1c7-0c1e3c98cc02,loan,dormant,2020-11-17,11394.94,JPY,
6a0d27fc-fe69-4425-af2e-542fb410af0b,85c924e9-a029-4538-9d7e-78484fc87095,checking,active,2023-07-13,40004.01,GBP,
ca83b7f1-6b4b-44b3-8f7f-ed668e8b310b,e1fa2672-7c45-4adc-a71d-64ea16984a5e,savings,dormant,2021-12-14,27672.4,EUR,
51f37482-4ffa-43ef-ad95-8a1c1729c8c8,f0a2fac1-fe20-4b69-9d5c-731302f03587,checking,active,2023-07-21,32940.85,GBP,
4ddc4b73-dc57-40e8-8e43-c7dc62f9503c,9312ee39-44fa-4b43-ab0e-b475dd9fab42,loan,dormant,2024-01-24,2872.14,USD,
7adec92a-80f8-4a5e-bf7b-48e55e4011cb,cfe6c32e-b791-4cb6-9428-a27da1b9d3df,credit card,active,2020-02-15,7350.58,EUR,43765.5
47c4efa8-5406-44b9-a6f3-28a8196af712,4cb4b293-43db-4fa8-93ed-1922e80e8fe1,checking,dormant,2022-03-22,2175.11,EUR,
fd775dbf-eede-45cb-a291-0b9412c21de5,264d5254-77c4-4b34-abf7-6274db053001,credit card,closed,2022-04-16,3120.42,USD,23805.42
6f0361fb-e838-4993-a3bc-a834d212d5bc,ef6023dc-9f74-43f2-9957-c7105d276407,loan,dormant,2022-09-29,17744.1,JPY,
438a4b1d-f5f7-431a-a5d5-463ed4bf4a9b,bea6c8e6-f00b-45c2-97e3-c56ed7b8efa2,loan,active,2023-10-26,46386.83,GBP,
34de149d-eb84-449a-9143-06c7d183c84a,7c509d49-8888-4872-9c31-81c576dc94d7,loan,dormant,2020-04-28,1589.0,GBP,
7b6e0596-fe27-408b-907c-be8b1742090d,11f3a26f-d1af-497a-9ee1-bec72f6ce169,checking,dormant,2024-06-06,28329.59,GBP,
